5	2186369	a
43	230737	all
33	343063	an
159	60182	another
83	123655	any
227	41162	both
150	61492	each
840	12167	either
1387	6958	enough
234	40114	every
539	19160	few
2638	3101	fewer
603	16973	former
460	22232	half
45	218258	her
26	426896	his
62	163081	its
1267	7762	latter
959	10522	less
378	26553	little
108	89659	many
131	67198	more
212	43792	most
301	31284	much
65	152619	my
2687	3018	neither
202	46221	next
74	137026	no
102	95001	our
126	69459	own
144	62402	same
416	24002	several
56	171174	some
94	108524	such
27	384313	that
1	6187267	the
39	260919	their
79	125442	these
22	461945	this
109	88862	those
41	249466	what
768	13236	whatever
5635	970	whatsoever
30	372031	which
5989	871	whichever
521	19833	whose
72	138334	your
